VAR1,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,metro_dist_group
864,288.70714503,Private room,False,True,2,False,1,0,9,100,0,3.9100207337,1.9641786603,103.08809598,5.4585831793,127.62128186,8.8928345312,4.94721,52.38501,Close
865,713.80029527,Entire home/apt,False,False,4,False,0,1,10,100,1,1.0002345144,0.4962205208,358.91663524,19.004874319,433.9315409,30.236974076,4.90778,52.37357,Very Close
866,405.40857217,Private room,False,True,2,False,1,0,10,100,1,0.5067521079,0.4537743065,551.18604672,29.185667411,696.64036314,48.542902775,4.88616,52.37159,Very Close
867,786.44576196,Entire home/apt,False,False,4,False,0,1,10,93,2,1.0256276331,0.862631128,430.96594332,22.819933055,629.29819344,43.850403504,4.88211,52.36693,Very Close
868,718.95578,Entire home/apt,False,False,4,False,0,0,9,92,2,2.0207152174,0.6736168389,281.64353965,14.913212563,364.3274165,25.386858547,4.90154,52.35582,Very Close
869,405.64291238,Entire home/apt,False,False,2,False,0,0,8,100,1,2.5947264898,1.1587122498,175.01751752,9.2672938436,227.3024505,15.838761776,4.92557,52.36103,Close
870,258.00857685,Private room,False,True,2,True,0,0,10,98,1,1.8856959228,0.2896530779,247.2505726,13.092082105,303.50333975,21.148549371,4.91192,52.3608,Very Close
871,823.47151595,Entire home/apt,False,False,4,True,0,0,10,99,3,1.749362548,1.0863708284,456.72841005,24.184072786,475.34420483,33.12266808,4.87526,52.36192,Close
872,761.84003937,Entire home/apt,False,False,4,False,0,1,9,80,0,2.1832172508,0.9715567381,209.94441009,11.116696013,250.03636146,17.422893399,4.92139,52.364,Very Close
873,531.95228833,Entire home/apt,False,False,4,False,1,0,10,100,1,1.3524775483,1.3761891365,314.57610566,16.657013815,396.02300605,27.595452829,4.87335,52.37452,Close
874,295.03433084,Private room,False,True,2,False,1,0,10,100,1,2.8480415194,1.4266029311,175.16439859,9.275071294,215.83475693,15.039676389,4.8531,52.36576,Close
875,921.66006608,Entire home/apt,False,False,4,False,0,0,10,100,2,3.1135013298,1.4838249876,121.72125711,6.4452214421,152.78714611,10.646428159,4.90645,52.4,Close
876,289.64450589,Entire home/apt,False,False,4,False,0,0,10,100,2,5.5010403119,3.2814503039,72.445824184,3.8360545273,90.403456549,6.2994429177,4.89821,52.42258,Far
877,539.216835,Private room,False,True,3,True,1,0,10,100,1,4.8436147376,0.5820594454,99.661227128,5.2771281966,124.35902702,8.6655159208,4.82587,52.35903,Very Close
878,773.0883697,Entire home/apt,False,False,4,False,0,0,10,100,2,2.9806511155,1.1030307671,138.2555461,7.3207230304,174.31024172,12.146188427,4.85429,52.38563,Close
879,307.22002203,Private room,False,True,2,True,1,0,10,97,1,6.7601358466,2.1923042272,70.266991824,3.7206839062,86.946975426,6.0585903401,4.80245,52.34849,Kinda Far
880,307.22002203,Private room,False,True,2,True,1,0,10,98,1,6.802569195,2.1596975796,69.959794863,3.704417623,86.559798179,6.0316112725,4.80277,52.34715,Kinda Far
881,288.70714503,Private room,False,True,2,False,0,0,8,80,1,3.6708016942,0.8635917565,142.2924728,7.5344809816,179.30909004,12.49451537,4.90792,52.34151,Very Close
882,467.04004874,Entire home/apt,False,False,2,False,0,0,10,100,1,2.0777033904,0.2079603883,417.01099654,22.081009351,476.03569342,33.170852,4.8882,52.3548,Very Close
883,552.80856748,Private room,False,True,4,False,0,0,8,95,2,4.5473742963,0.8719130307,114.41049872,6.0581119277,141.37487656,9.8512047976,4.90158,52.33269,Very Close
884,921.66006608,Entire home/apt,False,False,4,False,0,0,10,100,2,1.5605057218,1.5451692842,280.03395819,14.827984156,355.7300985,24.78778506,4.87021,52.37256,Close
885,614.44004406,Entire home/apt,False,False,4,False,0,0,10,100,3,2.1762867909,1.7478432092,166.81533267,8.832982706,213.77435741,14.896104786,4.8895,52.39267,Close
886,423.92144916,Entire home/apt,False,False,2,False,1,0,10,100,0,0.5932175622,0.5040828461,518.68716887,27.464830235,700.96446103,48.844212137,4.8854,52.37074,Very Close
887,626.39139503,Entire home/apt,False,False,4,False,0,0,10,100,1,2.8349323218,0.4921804154,176.65771454,9.3541433658,231.55308907,16.134952387,4.91367,52.35108,Very Close
888,737.23431678,Entire home/apt,False,False,4,False,1,0,9,93,1,0.9854248784,0.1673273754,442.70838662,23.441703231,468.99241644,32.680066327,4.90409,52.36747,Very Close
889,198.95484264,Private room,False,True,2,True,0,0,10,98,1,3.8745044602,2.7643279386,107.76930062,5.7064560752,134.89027633,9.3993485243,4.95,52.373,Kinda Far
